requested_work_id,award_position,award_openalex_id,award_display_name,funder_award_id,funder_openalex_id,funder_display_name,award_doi
W4400342758,17,G6526646931,,FA9550-19-1-0399,F4320333591,Multidisciplinary University Research Initiative,
W4400342758,18,G6547089213,,OSI-2326767,F4320338279,Air Force Office of Scientific Research,
W4400342758,19,G7420521838,,CCF-2312755,F4320338279,Air Force Office of Scientific Research,
W4400342758,20,G7452299184,,W911NF,F4320338281,Army Research Office,
W4400342758,21,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4400342758,22,G7796153478,,HR0011-24-9-0359,F4320332180,Defense Advanced Research Projects Agency,
W4400342758,23,G8232580466,Collaborative Research: FET: Medium: Design and Implementation of Quantum Databases,2312755,F4320306076,National Science Foundation,
W4400342758,24,G922915270,QII-TAQS: Quantum Metrological Platform for Single-Molecule Bio-Sensing,1936118,F4320306076,National Science Foundation,
W4406219593,1,G2422073433,,CCSS-2052751,F4320337392,"Division of Electrical, Communications and Cyber Systems",
W4406219593,2,G2569120085,Collaborative Research: CIF: Medium: QODED: Quantum codes Optimized for the Dynamics between Encoded Computation and Decoding using Classical Coding Techniques,2106189,F4320306076,National Science Foundation,
W4406219593,3,G2793524870,ECCS/CCSS: Neural Network Nonlinear Iterative LDPC Decoders with Guaranteed Error Performance and Fast Convergence,2027844,F4320306076,National Science Foundation,
W4406219593,4,G3559249381,,CCSS-2027844,F4320337392,"Division of Electrical, Communications and Cyber Systems",
W4406219593,5,G7377101850,,7750284,F4320329307,Science Fund of the Republic of Serbia,
W4406219593,6,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4406219593,7,G767368701,Collaborative Research: Secure and Efficient Post-quantum Cryptography: from Coding Theory to Hardware Architecture,2052751,F4320306076,National Science Foundation,
W4406219593,8,G7789950527,CIF: Small: Learning To Correct Errors,2100013,F4320306076,National Science Foundation,
W4414769344,1,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4366986365,1,G2272854739,,FA8750-20-2-1007,F4320338294,Air Force Research Laboratory,
W4366986365,2,G434337789,,HORIZON2020,F4320320300,European Commission,
W4366986365,3,G4359690165,NSF Convergence Accelerator Track C: Interconnecting Quantum Computers for the Next-Generation Internet,2040695,F4320306076,National Science Foundation,
W4366986365,4,G4800547303,,1747426,F4320337367,Division of Materials Research,
W4366986365,5,G4944074465,Convergence QL: Workshop Series: Cross- Sector Connections in Quantum Leap,1747426,F4320306076,National Science Foundation,
W4366986365,6,G5298095028,,DMR-1747426,F4320337367,Division of Materials Research,
W4366986365,7,G5639706416,INTEGRATED MECHANICS FOR MODULAR QUANTUM RECONFIGURABLE CIRCUITS,896401,F4320320300,European Commission,
W4366986365,8,G6629006974,Integrated multi-qubit devices for scalable quantum networks,840393,F4320320300,European Commission,
W4366986365,9,G948246723,INTEGRATION OF STRONG SECOND-ORDER NONLINEARITIES WITH LARGE-SCALE SILICON PHOTONICS,FA87502021007,F4320306078,U.S. Department of Defense,
W4388833806,1,G1430011754,C: Quantum-Enhanced Inertial Measurement Unit (QEIMU),2134830,F4320306076,National Science Foundation,
W4388833806,2,G227164890,,FA9550-21-1-0225,F4320338279,Air Force Office of Scientific Research,
W4413885812,1,G1592605995,,NRF2022‐ QEP2‐01‐P07,F4320320709,National Research Foundation Singapore,
W4413885812,2,G1934589161,,NRF-NRFF15-2023-0005,F4320320709,National Research Foundation Singapore,
W4413885812,3,G2409395093,,N00014-22-C-1041,F4320306078,U.S. Department of Defense,
W4413885812,4,G2515541506,,HR0011,F4320332180,Defense Advanced Research Projects Agency,
W4413885812,5,G4147610361,,231180A/80NSSC22K0262,F4320306101,National Aeronautics and Space Administration,
W4413885812,6,G4198572546,QuIC-TAQS: Integrated Lithium Niobate Quantum Photonics Platform,2137723,F4320306076,National Science Foundation,
W4413885812,7,G4720003262,,N00014-22,F4320337345,Office of Naval Research,
W4413885812,8,G6223813265,,N00014-22-C-1041,F4320338298,Office of Naval Research Global,
W4413885812,9,G650199722,,HR0011-20-C-0137,F4320306078,U.S. Department of Defense,
W4413885812,10,G6906440423,QuIC-TAQS: Implementation of a Neutral-Atom-Photonic-Cluster State,2138068,F4320306076,National Science Foundation,
W4413885812,11,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4413885812,12,G763165814,,HR0011‐20‐C‐0137,F4320332180,Defense Advanced Research Projects Agency,
W4413885812,13,G8862277691,,80NSSC22K0262,F4320306101,National Aeronautics and Space Administration,
W4413885812,14,G8876996369,,N00014,F4320337345,Office of Naval Research,
W4413885812,15,G8883787402,,N00014-22-C-1041,F4320337345,Office of Naval Research,
W3194325089,1,G5076427417,,ECCS102000743,F4320306076,National Science Foundation,
W4388858834,1,G1076816386,,193632,F4320306076,National Science Foundation,
W4388858834,2,G5388464240,,193632—QII-TAQS,F4320306076,National Science Foundation,
W4307244295,1,G2463917466,,HR00112090128,F4320332180,Defense Advanced Research Projects Agency,
W4386365329,1,G1046987290,Collaborative Research: CNS Core: Medium: A Stateful Switch Architecture for In-Network Compute,2211382,F4320306076,National Science Foundation,
W4386365329,2,G1719372296,,DE‐AR0000843,F4320332276,Advanced Research Projects Agency - Energy,
W4386365329,3,G2433552189,CAREER: Large-scale Dynamic Reconfigurable Networks,2144766,F4320306076,National Science Foundation,
W4386365329,4,G3279571212,"FuSe-TG: Electronic-Photonic Systems-on-Chip for Computation, Communication and Sensing",2235466,F4320306076,National Science Foundation,
W4386365329,5,G4175439218,Collaborative Research: SHF: Medium: Spatial Multi-Tenant Neural Acceleration for Next Generation Datacenters,2107244,F4320306076,National Science Foundation,
W4386365329,6,G6069956957,,FastNICs 4202290027,F4320332180,Defense Advanced Research Projects Agency,
W4386365329,7,G6671297155,,CAREER,F4320306076,National Science Foundation,
W4386365329,8,G7222557646,ASCENT: Collaborative Research: Scaling Distributed AI Systems based on Universal Optical I/O,2023468,F4320306076,National Science Foundation,
W4386365329,9,G7452299184,,W911NF,F4320338281,Army Research Office,
W4386365329,10,G805375031,,W911NF1820048,F4320338281,Army Research Office,
W4386365329,11,G8598912940,Collaborative Research: PPoSS: LARGE: A Full-Stack Architecture for Sparse Computation,2217099,F4320306076,National Science Foundation,
W4386365329,12,G882022454,Collaborative Research: CNS Core: Small: A Principled Framework for Workload Distribution Techniques in Large-Scale Networks,2008624,F4320306076,National Science Foundation,
W4389494263,1,G1019936685,,DMR-2128556,F4320337367,Division of Materials Research,
W4389494263,2,G1235551788,NNCI: Soft Hybrid Nanotechnology Experimental (SHyNE) Resource,2025633,F4320306076,National Science Foundation,
W4389494263,3,G2233802770,,ECCS-2025633,F4320337367,Division of Materials Research,
W4389494263,4,G3010471893,,ECCS-2025633,F4320337392,"Division of Electrical, Communications and Cyber Systems",
W4389494263,5,G4958141111,,2025633,F4320337392,"Division of Electrical, Communications and Cyber Systems",
W4389494263,6,G6540817556,,ECCS-2025633,F4320309475,Northwestern University,
W4389494263,7,G6616296469,,W911NF2210120,F4320338281,Army Research Office,
W4389494263,8,G7197141446,National High Magnetic Field Laboratory Renewal 2023-2027,2128556,F4320306076,National Science Foundation,
W4389494263,9,G742574937,,2128556,F4320337367,Division of Materials Research,
