"ua_author_names","n"
"Rishab Srivastava",4
"Robert A. Root",4
"Robert B. Pape",4
"Rosa I. Luna Ramirez",4
"Rose Castle",4
"Ruchika Bhat",4
"Ryan Luu",4
"Régis Ferrière",4
"S. L. Beck",4
"Sabina Srokova",4
"Sahil Hassan",4
"Sally E. Dickinson",4
"Samuel N Rogers",4
"Sean W. Limesand",4
"Sebastiaan Y. Haffert",4
"Sefiu O. Adewuyi",4
"Shelby G. Ziller",4
"Shu‐Fen Wung",4
"Simona Merlini",4
"Siyang Cao",4
"Somayeh Bakhtiari",4
"Song Peng Ang",4
"Stefano Guerra",4
"Stephanie Russo Carroll",4
"Stephen Dahmer",4
"Steven Goldman",4
"Sukrit Ranjan",4
"Taben M. Hale",4
"Tahsin Özpolat",4
"Tara F. Carr",4
"Theresa M. Crimmins",4
"Thomas A. R. Purcell",4
"Thomas Tawiah Baah",4
"Tianyao Zhang",4
"Tiju Cherian John",4
"Timothy M. Kistner",4
"Tom Marco",4
"Tomas Nuño",4
"Travis Barman",4
"Travis J. Wheeler",4
"Trenton House",4
"Tuo Liu",4
"Tushar Acharya",4
"Ursula K. Schuch",4
"V. Reddy",4
"Vicente Talanquer",4
"Vivienne Ng",4
"Walter M. Harris",4
"Weimin Zhou",4
"Wooyoung Jung",4
"Xiangmeng Wu",4
"Xiaobo Ma",4
"Xiaojian Zheng",4
"Xinglong Wang",4
"Xueying Tang",4
"Ying‐Wei Lan",4
"Young Sik Kim",4
"Zixu Zhang",4
"Zong‐Ming Li",4
"A. J. Ryan",3
"Adnan Saithna",3
"Ahamed Ashraf",3
"Aikseng Ooi",3
"Akinsanmi S. Ige",3
"Alana Gonzales",3
"Albert Barberán",3
"Alec Bartlett",3
"Alejandro Ramirez",3
"Alexander Bucksch",3
"Alexander V. Badyaev",3
"Allen Buchanan",3
"Allie Jepson",3
"Alyssa Salazar",3
"Amable Custodio Ribeiro",3
"Amanda L Babcock",3
"Andre J. Riveros",3
"Andrea K. Thomer",3
"Andrew S. Cohen",3
"Andrew S. McAvan",3
"Andrew Tubbs",3
"Andrew Wessman",3
"Andrés N. Salcedo",3
"Aneta Kielar",3
"Anika M. Arias",3
"Anish Bhandari",3
"Anjani T. Polit",3
"Ann I. Zabludoff",3
"Anna Josephson",3
"Annadurai Anandhan",3
